date,close,pos,returns,strategy_returns,equity_curve
2023-12-26,5.400000095367432,0,0.0,0.0,100000.0
2023-12-27,5.823999881744385,0,0.07851847757200892,0.0,100000.0
2023-12-28,5.929999828338623,0,0.018200540650163965,0.0,100000.0
2023-12-29,5.949999809265137,0,0.0033726781628116154,0.0,100000.0
2024-01-02,6.050000190734863,0,0.016806787340397866,0.0,100000.0
2024-01-03,6.010000228881836,0,-0.006611563734210235,-0.0,100000.0
2024-01-04,5.929999828338623,0,-0.013311214225710133,-0.0,100000.0
2024-01-05,6.480000019073486,0,0.09274877009380189,0.0,100000.0
2024-01-08,6.230000019073486,0,-0.03858024680002159,-0.0,100000.0
2024-01-09,6.659999847412109,0,0.06902083900837153,0.0,100000.0
2024-01-10,7.789999961853027,0,0.16966969074030902,0.0,100000.0
2024-01-11,7.900000095367432,0,0.014120684730817068,0.0,100000.0
2024-01-12,8.0,0,0.012658215623466695,0.0,100000.0
2024-01-16,7.46999979019165,0,-0.0662500262260437,-0.0,100000.0
2024-01-17,7.730000019073486,0,0.03480592184530251,0.0,100000.0
2024-01-18,7.980000019073486,0,0.032341526440250234,0.0,100000.0
2024-01-19,7.880000114440918,0,-0.012531316340044119,-0.0,100000.0
2024-01-22,9.800000190734863,0,0.24365482847840902,0.0,100000.0
2024-01-23,11.100000381469728,0,0.1326530781054387,0.0,100000.0
2024-01-24,7.5,0,-0.3243243475450277,-0.0,100000.0
2024-01-25,9.899999618530272,0,0.3199999491373695,0.0,100000.0
2024-01-26,3.470000028610229,0,-0.6494949330992624,-0.0,100000.0
2024-01-29,2.799999952316284,1,-0.19308359388178065,-0.0,100000.0
2024-01-30,2.240000009536743,1,-0.19999998297010124,-0.19999998297010124,80000.00170298987
2024-01-31,2.259999990463257,1,0.008928562875609058,0.008928562875609058,80714.28674824386
2024-02-01,2.049999952316284,1,-0.09292037125359753,-0.09292037125359753,73214.28525812771
2024-02-02,1.9800000190734863,1,-0.03414630969318089,-0.03414630969318089,70714.28759973879
2024-02-05,1.820000052452088,1,-0.08080806317177114,-0.08080806317177114,65000.002980232304
2024-02-06,2.0899999141693115,1,0.14835156809663408,0.14835156809663408,74642.85534863567
2024-02-07,1.850000023841858,1,-0.1148324881261269,-0.1148324881261269,66071.43054811325
2024-02-08,1.8799999952316284,1,0.016216200542241266,0.016216200542241266,67142.85811599423
2024-02-09,1.8600000143051147,1,-0.01063828775385156,-0.01063828775385156,66428.57307074025
2024-02-12,2.005000114440918,1,0.07795704248420354,0.07795704248420354,71607.14816378096
2024-02-13,1.8799999952316284,1,-0.06234419554841031,-0.06234419554841031,67142.85811599423
2024-02-14,1.919999957084656,1,0.021276575507703344,0.021276575507703344,68571.42820650218
2024-02-15,1.830000042915344,1,-0.04687495634425354,-0.04687495634425354,65357.14550285928
2024-02-16,1.850000023841858,1,0.010928951069669068,0.010928951069669068,66071.43054811328
2024-02-20,1.7300000190734863,1,-0.06486486660641766,-0.06486486660641766,61785.71601911472
2024-02-21,1.5800000429153442,1,-0.0867051875747814,-0.0867051875747814,56428.573922235206
2024-02-22,1.4900000095367432,1,-0.0569620448949717,-0.0569620448949717,53214.28696111761
2024-02-23,1.3799999952316284,1,-0.07382551248393276,-0.07382551248393276,49285.71495474604
2024-02-26,1.600000023841858,0,0.1594203111379744,0.1594203111379744,57142.85896748918
2024-02-27,1.7899999618530271,0,0.11874995948746836,0.0,57142.85896748918
2024-02-28,1.6699999570846558,0,-0.06703911023782705,-0.0,57142.85896748918
2024-02-29,1.6699999570846558,0,0.0,0.0,57142.85896748918
2024-03-01,1.590000033378601,0,-0.047904147162801,-0.0,57142.85896748918
2024-03-04,1.5099999904632568,0,-0.05031449134334398,-0.0,57142.85896748918
2024-03-05,1.5700000524520874,0,0.039735140640910105,0.0,57142.85896748918
2024-03-06,1.5700000524520874,0,0.0,0.0,57142.85896748918
2024-03-07,1.5199999809265137,0,-0.031847178251670494,-0.0,57142.85896748918
2024-03-08,1.5399999618530271,0,0.013157882353605377,0.0,57142.85896748918
2024-03-11,1.5099999904632568,0,-0.01948050138499513,-0.0,57142.85896748918
2024-03-12,1.5099999904632568,0,0.0,0.0,57142.85896748918
2024-03-13,1.4700000286102295,0,-0.02649004112957354,-0.0,57142.85896748918
2024-03-14,1.4299999475479126,0,-0.027210938968575293,-0.0,57142.85896748918
2024-03-15,1.3200000524520874,0,-0.07692300638503313,-0.0,57142.85896748918
2024-03-18,1.3300000429153442,-1,0.00757575004991895,0.0,57142.85896748918
2024-03-19,1.5299999713897705,-1,0.15037588121879208,-0.15037588121879208,48549.95119489183
2024-03-20,1.6799999475479126,-1,0.0980392019366445,-0.0980392019366445,43790.1527256816
2024-03-21,1.690000057220459,-1,0.005952446419502655,-0.005952446419502655,43529.49418788014
2024-03-22,1.6100000143051147,-1,-0.047337301897445005,0.047337301897445005,45590.062995694905
2024-03-25,1.5800000429153442,-1,-0.01863352243678007,0.01863352243678007,46439.566457419394
2024-03-26,1.4800000190734863,-1,-0.06329115261120022,0.06329115261120022,49378.7801452739
2024-03-27,1.4800000190734863,-1,0.0,-0.0,49378.7801452739
2024-03-28,1.4199999570846558,-1,-0.04054058190241916,0.04054058190241916,51380.62462599492
2024-04-01,1.4299999475479126,-1,0.00704224701794165,-0.00704224701794165,51018.789575442526
2024-04-02,1.5199999809265137,-1,0.06293708858726066,-0.06293708858726066,47807.81549631809
2024-04-03,1.75,-1,0.15131580392079358,-0.15131580392079358,40573.737460795746
2024-04-04,1.6699999570846558,-1,-0.04571431023733952,0.04571431023733952,42428.53788256693
2024-04-05,1.75,-1,0.04790421854561089,-0.04790421854561089,40396.03193126972
2024-04-08,1.9800000190734863,-1,0.13142858232770638,-0.13142858232770638,35086.83872287818
2024-04-09,1.7899999618530271,-1,-0.09595962393443158,0.09595962393443158,38453.758571773615
2024-04-10,1.909999966621399,-1,0.06703911023782738,-0.06703911023782738,35875.852811821685
2024-04-11,1.7799999713897705,-1,-0.06806282591804724,0.06806282591804724,38317.66473641419
2024-04-12,1.7200000286102295,-1,-0.03370783356400553,0.03370783356400553,39609.2702019106
2024-04-15,1.659999966621399,0,-0.034883756389998966,0.034883756389998966,40990.990334419694
2024-04-16,1.5299999713897705,0,-0.07831325171422598,-0.0,40990.990334419694
2024-04-17,1.4199999570846558,0,-0.07189543553075795,-0.0,40990.990334419694
2024-04-18,1.340000033378601,0,-0.056337976143534085,-0.0,40990.990334419694
2024-04-19,1.309999942779541,0,-0.022388126755056525,-0.0,40990.990334419694
2024-04-22,1.2300000190734863,0,-0.06106864671788603,-0.0,40990.990334419694
2024-04-23,1.2100000381469729,0,-0.016260146842581924,-0.0,40990.990334419694
2024-04-24,1.1799999475479126,0,-0.024793462523359233,-0.0,40990.990334419694
2024-04-25,1.2400000095367432,0,0.05084751242024477,0.0,40990.990334419694
2024-04-26,1.25,0,0.008064508376086854,0.0,40990.990334419694
2024-04-29,1.3700000047683716,0,0.09600000381469731,0.0,40990.990334419694
2024-04-30,1.350000023841858,0,-0.014598526172921567,-0.0,40990.990334419694
2024-05-01,1.3799999952316284,0,0.02222220063700142,0.0,40990.990334419694
2024-05-02,1.340000033378601,0,-0.028985479703797723,-0.0,40990.990334419694
2024-05-03,1.3200000524520874,0,-0.014925358528601551,-0.0,40990.990334419694
2024-05-06,1.2999999523162842,-1,-0.015151590409901994,-0.0,40990.990334419694
2024-05-07,1.2899999618530271,-1,-0.007692300638503458,0.007692300638503458,41306.30535554204
2024-05-08,1.2899999618530271,-1,0.0,-0.0,41306.30535554204
2024-05-09,1.350000023841858,-1,0.04651167733574457,-0.04651167733574457,39385.07980891333
2024-05-10,1.3700000047683716,-1,0.01481480042466754,-0.01481480042466754,38801.59771183468
2024-05-13,1.340000033378601,-1,-0.02189778925938224,0.02189778925938224,39651.26692145577
2024-05-14,1.350000023841858,-1,0.007462679264300887,-0.007462679264300887,39355.36223399776
2024-05-15,1.3300000429153442,-1,-0.014814800424667651,0.014814800424667651,39938.404071134944
2024-05-16,1.315000057220459,-1,-0.011278184369081234,0.011278184369081234,40388.83675565606
2024-05-17,1.284999966621399,-1,-0.022813756116841444,0.022813756116841444,41310.257827242516
2024-05-20,1.2300000190734863,-1,-0.04280151671328203,0.04280151671328203,43078.39951806523
2024-05-21,1.190000057220459,-1,-0.03252029368516418,0.03252029368516418,44479.32172187955
2024-05-22,1.190000057220459,-1,0.0,-0.0,44479.32172187955
2024-05-23,1.159999966621399,-1,-0.025210158955061512,0.025210158955061512,45600.65249270145
2024-05-24,1.1349999904632568,-1,-0.021551704204748168,0.021551704204748168,46583.424266767666
2024-05-28,1.1100000143051147,-1,-0.02202641089709456,0.02202641089709456,47609.48991066117
2024-05-29,1.090000033378601,-1,-0.018018000602490147,0.018018000602490147,48467.31772855571
2024-05-30,1.1100000143051147,-1,0.018348605792718242,-0.018348605792718242,47578.01002172402
2024-05-31,1.1299999952316284,-1,0.018018000602490147,-0.018018000602490147,46720.74940848731
2024-06-03,1.159999966621399,0,0.026548647359614375,-0.026548647359614375,45480.37670806447
2024-06-04,1.0850000381469729,0,-0.06465511261424417,-0.0,45480.37670806447
2024-06-05,1.149999976158142,0,0.059907774862552055,0.0,45480.37670806447
2024-06-06,1.1699999570846558,0,0.01739128812274293,0.0,45480.37670806447
2024-06-07,1.2899999618530271,0,0.1025641104016628,0.0,45480.37670806447
2024-06-10,1.3200000524520874,0,0.023255884873024657,0.0,45480.37670806447
2024-06-11,1.2899999618530271,0,-0.022727340459821055,-0.0,45480.37670806447
2024-06-12,1.2699999809265137,0,-0.015503861641813055,-0.0,45480.37670806447
2024-06-13,1.3200000524520874,0,0.03937013565078695,0.0,45480.37670806447
2024-06-14,1.2899999618530271,0,-0.022727340459821055,-0.0,45480.37670806447
2024-06-17,1.2699999809265137,0,-0.015503861641813055,-0.0,45480.37670806447
2024-06-18,1.2300000190734863,0,-0.03149603342816265,-0.0,45480.37670806447
2024-06-20,1.2400000095367432,0,0.008130073421291018,0.0,45480.37670806447
2024-06-21,1.1699999570846558,0,-0.056451654769131054,-0.0,45480.37670806447
2024-06-24,1.2200000286102295,0,0.042735105435526055,0.0,45480.37670806447
2024-06-25,1.2799999713897705,0,0.0491802798135097,0.0,45480.37670806447
2024-06-26,1.2899999618530271,0,0.007812492724041942,0.0,45480.37670806447
2024-06-27,1.3300000429153442,0,0.031007815693931295,0.0,45480.37670806447
2024-06-28,1.309999942779541,0,-0.015037668789816938,-0.0,45480.37670806447
2024-07-01,1.2200000286102295,-1,-0.06870222755762179,-0.0,45480.37670806447
2024-07-02,1.1799999475479126,-1,-0.032786950921536606,0.032786950921536606,46971.53958708478
2024-07-03,1.25,-1,0.059322080986147885,-0.059322080986147885,44185.090111655685
2024-07-05,1.3200000524520874,-1,0.056000041961669966,-0.056000041961669966,41710.723211322795
2024-07-08,1.2799999713897705,-1,-0.030303090509739783,0.030303090509739783,42974.687032022215
2024-07-09,1.2899999618530271,-1,0.007812492724041942,-0.007812492724041942,42638.947602266555
2024-07-10,1.2000000476837158,-1,-0.0697673773881593,0.0697673773881593,45613.75515106784
2024-07-11,1.1699999570846558,-1,-0.025000074505802994,0.025000074505802994,46754.102428333994
2024-07-12,1.149999976158142,-1,-0.017094001418896276,0.017094001418896276,47553.31712158315
2024-07-15,1.1399999856948853,-1,-0.008695644061371466,0.008695644061371466,47966.82384120997
2024-07-16,1.190000057220459,-1,0.04385971241490516,-0.04385971241490516,45863.01274207808
2024-07-17,1.2799999713897705,-1,0.07563017633757818,-0.07563017633757818,42394.385001022114
2024-07-18,1.2000000476837158,-1,-0.062499941792337754,0.062499941792337754,45044.03159590796
2024-07-19,1.4700000286102295,-1,0.22499997516473225,-0.22499997516473225,34909.12560550925
2024-07-22,1.3700000047683716,-1,-0.06802722577930842,0.06802722577930842,37283.89657483347
2024-07-23,1.1699999570846558,-1,-0.14598543575737444,0.14598543575737444,42726.80246304341
2024-07-24,1.1399999856948853,-1,-0.025641002128344415,0.025641002128344415,43822.36049593565
2024-07-25,1.1299999952316284,-1,-0.008771921569070362,0.008771921569070362,44206.766805177525
2024-07-26,1.25,-1,0.10619469493340472,-0.10619469493340472,39512.24269030953
2024-07-29,1.5800000429153442,0,0.2640000343322755,-0.2640000343322755,29081.009263522617
2024-07-30,1.5199999809265137,0,-0.037974721746286244,-0.0,29081.009263522617
2024-07-31,1.4900000095367432,0,-0.019736823530408287,-0.0,29081.009263522617
2024-08-01,1.3799999952316284,0,-0.07382551248393276,-0.0,29081.009263522617
2024-08-02,1.4600000381469729,0,0.0579710457911391,0.0,29081.009263522617
2024-08-05,1.4199999570846558,0,-0.02739731508026877,-0.0,29081.009263522617
2024-08-06,0.3700000047683716,0,-0.7394366084855357,-0.0,29081.009263522617
2024-08-07,0.6179999709129333,0,0.6702701701309852,0.0,29081.009263522617
2024-08-08,0.5799999833106995,0,-0.06148865597210118,-0.0,29081.009263522617
2024-08-09,0.5419999957084656,0,-0.06551722188908704,-0.0,29081.009263522617
2024-08-12,0.4909999966621399,0,-0.09409593994491083,-0.0,29081.009263522617
2024-08-13,0.4729999899864197,0,-0.03665989164579597,-0.0,29081.009263522617
2024-08-14,0.4749999940395355,0,0.004228338468195814,0.0,29081.009263522617
2024-08-15,0.5929999947547913,0,0.2484210572546539,0.0,29081.009263522617
2024-08-16,0.753000020980835,0,0.2698145491421202,0.0,29081.009263522617
2024-08-19,0.906000018119812,-1,0.2031872415351117,0.0,29081.009263522617
2024-08-20,1.3200000524520874,-1,0.45695367113947105,-0.45695367113947105,15792.335320114991
2024-08-21,1.2899999618530271,-1,-0.022727340459821055,0.022727340459821055,16151.2531015909
2024-08-22,1.25,-1,-0.03100772328362633,0.03100772328362633,16652.066688448846
2024-08-23,1.3799999952316284,-1,0.10399999618530265,-0.10399999618530265,14920.25181637276
2024-08-26,1.6399999856948853,-1,0.18840579084177222,-0.18840579084177222,12109.18997335066
2024-08-27,1.5800000429153442,-1,-0.03658533128225516,0.03658533128225516,12552.208700085454
2024-08-28,1.4500000476837158,-1,-0.08227847575988567,0.08227847575988567,13584.985299348462
2024-08-29,1.4500000476837158,-1,0.0,-0.0,13584.985299348462
2024-08-30,1.25,-1,-0.1379310628321726,0.1379310628321726,15458.776760247036
2024-09-03,1.2699999809265137,-1,0.015999984741210893,-0.015999984741210893,15211.436567965298
2024-09-04,1.0399999618530271,-1,-0.18110237994310263,0.18110237994310263,17966.263932777354
2024-09-05,1.1299999952316284,-1,0.0865384968074836,-0.0865384968074836,16411.490458788296
