date,close,pos,returns,strategy_returns,equity_curve
2024-09-06,1.0800000429153442,-1,-0.0442477455993574,0.0442477455993574,17137.661913515036
2024-09-09,1.1100000143051147,-1,0.027777750183035854,-0.027777750183035854,16661.61622216009
2024-09-10,1.0399999618530271,-1,-0.0630631095044708,0.0630631095044708,17712.34955049964
2024-09-11,1.0299999713897705,-1,-0.009615375798128989,0.009615375798128989,17882.660447695514
2024-09-12,1.0199999809265137,-1,-0.009708728874782357,0.009708728874782357,18056.278349541986
2024-09-13,0.9359999895095824,-1,-0.08235293430165569,0.08235293430165569,19543.265854194226
2024-09-16,0.9139999747276306,0,-0.023504289560386304,0.023504289560386304,20002.616433786814
2024-09-17,0.8989999890327454,0,-0.01641136335846749,-0.0,20002.616433786814
2024-09-18,0.8460000157356262,0,-0.05895436478719318,-0.0,20002.616433786814
2024-09-19,0.9229999780654908,0,0.09101650224310043,0.0,20002.616433786814
2024-09-20,0.765999972820282,0,-0.1700975178507198,-0.0,20002.616433786814
2024-09-23,0.7300000190734863,0,-0.046997330318759634,-0.0,20002.616433786814
2024-09-24,0.7940000295639038,0,0.08767124495646739,0.0,20002.616433786814
2024-09-25,0.8339999914169312,0,0.05037778383332925,0.0,20002.616433786814
2024-09-26,0.8539999723434448,0,0.02398079272463116,0.0,20002.616433786814
2024-09-27,0.906000018119812,0,0.06088998531659762,0.0,20002.616433786814
2024-09-30,0.8389999866485596,0,-0.07395146813605491,-0.0,20002.616433786814
2024-10-01,0.7720000147819519,0,-0.07985694032516433,-0.0,20002.616433786814
2024-10-02,0.7400000095367432,0,-0.041450783202701125,-0.0,20002.616433786814
2024-10-03,0.6940000057220459,0,-0.062162166516044115,-0.0,20002.616433786814
2024-10-04,0.7170000076293945,0,0.033141212849730595,0.0,20002.616433786814
2024-10-07,0.6970000267028809,-1,-0.027893975890794342,-0.0,20002.616433786814
2024-10-08,0.625,-1,-0.10329989088160141,0.10329989088160141,22068.88452874352
2024-10-09,0.7099999785423279,-1,0.13599996566772465,-0.13599996566772465,19067.516990509423
2024-10-10,0.6909999847412109,-1,-0.02676055545821998,0.02676055545821998,19577.7743363845
2024-10-11,0.6850000023841858,-1,-0.008683042676581598,0.008683042676581598,19747.768986459814
2024-10-14,0.6970000267028809,-1,0.017518283615953534,-0.017518283615953534,19401.821968572676
2024-10-15,0.7149999737739563,-1,0.025824887204414004,-0.025824887204414004,18900.772104674164
2024-10-16,0.7070000171661377,-1,-0.01118875091084659,0.01118875091084659,19112.24813577604
2024-10-17,0.7120000123977661,-1,0.007072128868779837,-0.007072128868779837,18977.083853987737
2024-10-18,0.7250000238418579,-1,0.01825844272152799,-0.01825844272152799,18630.591855418068
2024-10-21,0.7200000286102295,-1,-0.00689654492027858,0.00689654492027858,18759.07856904033
2024-10-22,0.6679999828338623,-1,-0.07222228293065436,0.07222228293065436,20113.90204897194
2024-10-23,0.628000020980835,-1,-0.059880183953501254,0.059880183953501254,21318.326203687084
2024-10-24,0.6200000047683716,-1,-0.012738878893616357,0.012738878893616357,21589.89777941046
2024-10-25,0.6299999952316284,-1,0.016129016752173708,-0.016129016752173708,21241.67395644863
2024-10-28,0.75,0,0.1904761994867188,-0.1904761994867188,17195.64063048828
2024-10-29,0.7400000095367432,0,-0.013333320617675781,-0.0,17195.64063048828
2024-10-30,0.7070000171661377,0,-0.04459458370988967,-0.0,17195.64063048828
2024-10-31,0.6610000133514404,0,-0.06506365303791461,-0.0,17195.64063048828
2024-11-01,0.6230000257492065,0,-0.05748863363793921,-0.0,17195.64063048828
2024-11-04,0.6460000276565552,0,0.03691813957742518,0.0,17195.64063048828
2024-11-05,0.6079999804496765,0,-0.05882359996907205,-0.0,17195.64063048828
2024-11-06,0.5720000267028809,0,-0.05921045214536047,-0.0,17195.64063048828
2024-11-07,0.6209999918937683,0,0.08566427081014805,0.0,17195.64063048828
2024-11-08,0.6179999709129333,0,-0.004830951723020616,-0.0,17195.64063048828
2024-11-11,0.6430000066757202,0,0.040453134206229535,0.0,17195.64063048828
2024-11-12,0.6100000143051147,0,-0.05132191606220016,-0.0,17195.64063048828
2024-11-13,0.6060000061988831,0,-0.0065573901843073434,-0.0,17195.64063048828
2024-11-14,0.5849999785423279,0,-0.03465351062993749,-0.0,17195.64063048828
2024-11-15,0.5649999976158142,0,-0.03418800283779255,-0.0,17195.64063048828
2024-11-18,0.5519999861717224,-1,-0.02300886990964468,-0.0,17195.64063048828
2024-11-19,0.5699999928474426,-1,0.032608708562758215,-0.032608708562758215,16634.91299661877
2024-11-20,0.5299999713897705,-1,-0.07017547712211625,0.07017547712211625,17802.275953041382
2024-11-21,0.5730000138282776,-1,0.08113215992399403,-0.08113215992399403,16357.938853408155
2024-11-22,0.6179999709129333,-1,0.0785339546224546,-0.0785339546224546,15073.28522577771
2024-11-25,0.6330000162124634,-1,0.02427191910279758,-0.02427191910279758,14707.427666164242
2024-11-26,0.6060000061988831,-1,-0.0426540431628013,0.0426540431628013,15334.758920650587
2024-11-27,0.6610000133514404,-1,0.09075908678209976,-0.09075908678209976,13942.99020498868
2024-11-29,0.7400000095367432,-1,0.1195158768375093,-0.1195158768375093,12276.581504902655
2024-12-02,0.6800000071525574,-1,-0.0810810832580221,0.0810810832580221,13271.98003202556
2024-12-03,0.6740000247955322,-1,-0.008823503373403763,0.008823503373403763,13389.085392609886
2024-12-04,0.8019999861717224,-1,0.18991091493656964,-0.18991091493656964,10846.351935535484
2024-12-05,0.7379999756813049,-1,-0.07980051320937798,0.07980051320937798,11711.896386440745
2024-12-06,0.8059999942779541,-1,0.09214094964416919,-0.09214094964416919,10632.751131259982
2024-12-09,0.949999988079071,-1,0.1786600432052332,-0.1786600432052332,8733.103354758581
2024-12-10,0.8659999966621399,-1,-0.08842104470630752,0.08842104470630752,9505.293476914494
2024-12-11,0.8450000286102295,-1,-0.024249385834701487,0.024249385834701487,9735.791005908264
2024-12-12,0.75,-1,-0.11242606555466739,0.11242606555466739,10830.347683765049
2024-12-13,0.8450000286102295,-1,0.1266667048136394,-0.1266667048136394,9458.503230676497
2024-12-16,0.9710000157356262,0,0.14911240575059947,-0.14911240575059947,8048.123059150508
2024-12-17,1.2300000190734863,0,0.2667353235227732,0.0,8048.123059150508
2024-12-18,1.2400000095367432,0,0.008130073421291018,0.0,8048.123059150508
2024-12-19,1.149999976158142,0,-0.07258067152130476,-0.0,8048.123059150508
2024-12-20,1.2699999809265137,0,0.10434783239671108,0.0,8048.123059150508
2024-12-23,1.9600000381469729,0,0.5433071398293075,0.0,8048.123059150508
2024-12-24,1.950000047683716,0,-0.005102035851341613,-0.0,8048.123059150508
2024-12-26,2.6700000762939453,0,0.3692307748738122,0.0,8048.123059150508
2024-12-27,2.900000095367432,0,0.08614232677953138,0.0,8048.123059150508
2024-12-30,3.490000009536743,0,0.20344823957481895,0.0,8048.123059150508
2024-12-31,2.700000047683716,0,-0.2263610199697078,-0.0,8048.123059150508
2025-01-02,2.4100000858306885,0,-0.10740739138201627,-0.0,8048.123059150508
2025-01-03,4.090000152587891,0,0.6970954385580999,0.0,8048.123059150508
2025-01-06,4.110000133514404,0,0.00488997070424535,0.0,8048.123059150508
2025-01-07,3.869999885559082,0,-0.05839421901675257,-0.0,8048.123059150508
2025-01-08,3.1600000858306885,0,-0.1834624859751961,-0.0,8048.123059150508
2025-01-10,2.809999942779541,0,-0.11075953593182919,-0.0,8048.123059150508
2025-01-13,2.119999885559082,1,-0.2455516267868455,-0.0,8048.123059150508
2025-01-14,2.5999999046325684,1,0.22641511555879235,0.22641511555879235,9870.339771619452
2025-01-15,2.869999885559082,1,0.1038461503192516,0.1038461503192516,10895.336559245134
2025-01-16,3.289999961853028,1,0.14634149583324074,0.14634149583324074,12489.77640893166
2025-01-17,3.0999999046325684,1,-0.05775077794026651,-0.05775077794026651,11768.48210501587
2025-01-21,3.119999885559082,1,0.0064516069489635175,0.0064516069489635175,11844.407725943343
2025-01-22,3.2300000190734863,1,0.03525645434268765,0.03525645434268765,12261.999546149242
2025-01-23,3.450000047683716,1,0.06811146356381004,0.06811146356381004,13097.18228145624
2025-01-24,3.309999942779541,1,-0.04057973999106723,-0.04057973999106723,12565.702029859132
2025-01-27,2.869999885559082,1,-0.13293053318030368,-0.13293053318030368,10895.336559245134
2025-01-28,2.759999990463257,1,-0.038327491108731127,-0.038327491108731127,10477.745644144032
2025-01-29,2.569999933242798,1,-0.06884060068006304,-0.06884060068006304,9756.451340228243
2025-01-30,2.4200000762939453,1,-0.05836570460902091,-0.05836570460902091,9187.009183272196
2025-01-31,2.4800000190734863,1,0.024793364003288243,0.024793364003288243,9414.786046054616
2025-02-03,2.359999895095825,1,-0.0483871463930442,-0.0483871463930442,8959.231415384982
2025-02-04,2.4600000381469727,1,0.04237294385434165,0.04237294385434165,9338.860425127143
2025-02-05,2.359999895095825,1,-0.040650464024575284,-0.040650464024575284,8959.231415384982
2025-02-06,2.8499999046325684,1,0.20762713191427795,0.20762713191427795,10819.410938317664
2025-02-07,3.140000104904175,1,0.10175445964058527,0.10175445964058527,11920.334251975615
2025-02-10,3.009999990463257,0,-0.041401308948327276,-0.041401308948327276,11426.816810842245
2025-02-11,2.7100000381469727,0,-0.09966775856039534,-0.0,11426.816810842245
2025-02-12,2.640000104904175,0,-0.025830233305333072,-0.0,11426.816810842245
2025-02-13,3.039999961853028,0,0.1515150913084422,0.0,11426.816810842245
2025-02-14,2.75,0,-0.09539472549080519,-0.0,11426.816810842245
2025-02-18,2.559999942779541,0,-0.06909092989834875,-0.0,11426.816810842245
2025-02-19,2.549999952316284,0,-0.003906246362021082,-0.0,11426.816810842245
2025-02-20,2.470000028610229,0,-0.031372519687064115,-0.0,11426.816810842245
2025-02-21,2.2149999141693115,0,-0.1032389115332909,-0.0,11426.816810842245
2025-02-24,1.8799999952316284,0,-0.15124150425230043,-0.0,11426.816810842245
2025-02-25,1.7200000286102295,0,-0.08510636544000938,-0.0,11426.816810842245
2025-02-26,2.0299999713897705,0,0.18023252187386474,0.0,11426.816810842245
2025-02-27,1.899999976158142,0,-0.06403940742059633,-0.0,11426.816810842245
2025-02-28,1.8799999952316284,0,-0.01052630588288439,-0.0,11426.816810842245
2025-03-03,1.7100000381469729,0,-0.09042550931693505,-0.0,11426.816810842245
2025-03-04,1.6399999856948853,0,-0.04093570227515464,-0.0,11426.816810842245
2025-03-05,1.690000057220459,0,0.030487848757137836,0.0,11426.816810842245
2025-03-06,1.559999942779541,0,-0.07692314203511275,-0.0,11426.816810842245
2025-03-07,1.559999942779541,0,0.0,0.0,11426.816810842245
2025-03-10,1.4299999475479126,1,-0.08333333333333337,-0.0,11426.816810842245
2025-03-11,1.649999976158142,1,0.1538461794963515,0.1538461794963515,13184.788920995008
2025-03-12,1.6299999952316284,1,-0.012121200736670112,-0.012121200736670112,13024.973447813005
2025-03-13,1.7200000286102295,1,0.05521474456557396,0.05521474456557396,13744.144029707384
2025-03-14,1.690000057220459,1,-0.01744184354113687,-0.01744184354113687,13504.420819934376
2025-03-17,2.240000009536743,1,0.32544374774807316,0.32544374774807316,17899.35014274093
2025-03-18,1.9049999713897705,1,-0.14955358782174932,-0.14955358782174932,15222.43810921628
2025-03-19,2.130000114440918,1,0.11811031308677733,0.11811031308677733,17020.365040239903
2025-03-20,2.140000104904175,1,0.004694830951162521,0.004694830951162521,17100.27277683091
2025-03-21,2.259999990463257,1,0.056074710129257355,0.056074710129257355,18059.16561592293
2025-03-24,2.5999999046325684,1,0.15044244053276223,0.15044244053276223,20776.030565167723
2025-03-25,2.5,1,-0.03846150319251662,-0.03846150319251662,19976.9531992577
2025-03-26,2.319999933242798,1,-0.07200002670288086,-0.07200002670288086,18538.612035468945
2025-03-27,2.190000057220459,1,-0.05603443093234517,-0.05603443093234517,17499.811459785917
2025-03-28,1.899999976158142,1,-0.13242012487907606,-0.13242012487907606,15182.48424092078
2025-03-31,1.9800000190734863,0,0.042105286273269815,0.042105286273269815,15821.747086224155
2025-04-01,2.0299999713897705,0,0.025252500926581378,0.0,15821.747086224155
2025-04-02,1.8899999856948853,0,-0.06896551116650462,-0.0,15821.747086224155
2025-04-03,1.9800000190734863,0,0.04761906564010432,0.0,15821.747086224155
2025-04-04,1.8899999856948853,0,-0.04545456187455765,-0.0,15821.747086224155
2025-04-07,1.919999957084656,0,0.01587300085546861,0.0,15821.747086224155
2025-04-08,1.7400000095367432,0,-0.09374997477667979,-0.0,15821.747086224155
2025-04-09,1.909999966621399,0,0.09770112422580768,0.0,15821.747086224155
2025-04-10,1.7899999618530271,0,-0.06282722872537005,-0.0,15821.747086224155
2025-04-11,1.9600000381469729,0,0.09497211168538788,0.0,15821.747086224155
2025-04-14,2.0,0,0.020408143405366452,0.0,15821.747086224155
2025-04-15,2.0,0,0.0,0.0,15821.747086224155
2025-04-16,1.8899999856948853,0,-0.05500000715255737,-0.0,15821.747086224155
2025-04-17,1.919999957084656,0,0.01587300085546861,0.0,15821.747086224155
2025-04-21,1.820000052452088,0,-0.052083284826947907,-0.0,15821.747086224155
2025-04-22,1.809999942779541,0,-0.00549456559579431,-0.0,15821.747086224155
2025-04-23,2.0,0,0.10497241062266771,0.0,15821.747086224155
2025-04-24,2.200000047683716,0,0.10000002384185791,0.0,15821.747086224155
2025-04-25,2.240000009536743,0,0.018181800448205276,0.0,15821.747086224155
2025-04-28,2.190000057220459,-1,-0.022321407189022646,-0.0,15821.747086224155
2025-04-29,2.069999933242798,-1,-0.05479457572707325,0.05479457572707325,16688.693005074867
2025-04-30,1.9700000286102293,-1,-0.048309134230701045,0.048309134230701045,17494.909315591987
2025-05-01,2.0,-1,0.01522841165181843,-0.01522841165181843,17228.489634722922
2025-05-02,2.180000066757202,-1,0.09000003337860107,-0.09000003337860107,15677.924992534976
2025-05-05,2.069999933242798,-1,-0.0504587752962925,0.0504587752962925,16469.013886845423
2025-05-06,2.109999895095825,-1,0.019323653692280285,-0.019323653692280285,16150.77236584267
2025-05-07,2.069999933242798,-1,-0.018957328834943277,0.018957328834943277,16456.94786852026
2025-05-08,2.049999952316284,-1,-0.009661826846140142,0.009661826846140142,16615.95204924186
2025-05-09,1.9700000286102293,-1,-0.03902435393506398,0.03902435393506398,17264.37884297952
2025-05-12,2.0899999141693115,-1,0.0609136466072735,-0.0609136466072735,16212.74257124418
2025-05-13,2.2699999809265137,-1,0.08612443739202003,-0.08612443739202003,14816.429238714121
2025-05-14,2.4100000858306885,-1,0.06167405554207672,-0.06167405554207672,13902.639958910418
2025-05-15,2.190000057220459,-1,-0.09128631567429968,0.09128631567429968,15171.760738905648
